"No.","Time","Source","Destination","Protocol","Length","Info"
"5863","50.536050","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=2100480 Ack=2091556 Win=131328 Len=176"
"5864","50.558015","192.168.43.159","192.168.43.165","TCP","1514","[TCP Retransmission] 56914  >  5001 [PSH, ACK] Seq=2099196 Ack=2091556 Win=131328 Len=1460"
"5865","50.569112","192.168.43.165","192.168.43.159","TCP","66","5001  >  56914 [ACK] Seq=2091556 Ack=2100656 Win=65536 Len=0 SLE=2099196 SRE=2100656"
"5866","50.624034","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2091556 Ack=2100656 Win=65536 Len=1460"
"5867","50.624034","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2093016 Ack=2100656 Win=65536 Len=1460"
"5868","50.624034","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=2094476 Ack=2100656 Win=65536 Len=162"
"5869","50.624141","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=2100656 Ack=2094638 Win=131328 Len=0"
"5870","50.626580","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2100656 Ack=2094638 Win=131328 Len=1460"
"5871","50.626580","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2102116 Ack=2094638 Win=131328 Len=1460"
"5872","50.626580","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=2103576 Ack=2094638 Win=131328 Len=176"
"5873","50.639879","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=2094638 Ack=2103752 Win=65536 Len=0"
"5874","50.649385","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2094638 Ack=2103752 Win=65536 Len=1460"
"5875","50.649385","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2096098 Ack=2103752 Win=65536 Len=1460"
"5876","50.649385","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=2097558 Ack=2103752 Win=65536 Len=162"
"5877","50.649479","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=2103752 Ack=2097720 Win=131328 Len=0"
"5878","50.651925","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2103752 Ack=2097720 Win=131328 Len=1460"
